愛のシュプリーム！	Ai no Supreme	Love Supreme
めいど・うぃず・どらごんず♥	Made with Dragons	Maid with Dragons
BlackFlagBreaker!!
Dig Delight!
Floor Killer
Cry Baby
怪物	Monster
明け星	Akeboshi
シル・ヴ・プレジデント	Sʼil vous President
さんさーら！	Samsara
ギラギラ	Giragira
違う、そうじゃない	CHIGAU SOUJANAI	Chigau Sou Jya Nai
俺ら東京さ行ぐだ	Ora Tokyo sa Iguda
Realize
Long shot
FLARE
天空カフェテリア	Tenkuu Cafeteria
ヒバリ	Hibari
Say!ファンファーレ!	Say Fanfare
Virtual to LIVE
圧　倒　的　存　在　感	smash the paint
なだめスかし Negotiation（TVsize）	sugoi dekai	Negotiation
Lost Princess
Mirage Game
永遠のAria	eien no aria
キズナミュージック♪	Kizuna Music
FIRE BIRD
夜に駆ける	YOASOBI	Into the Night	Yoru ni Kakeru	Racing into the night	Race into the night
香水	Kousui	Perfume
猫 ～THE FIRST TAKE ver.～	Neko The First Take ver
インフェルノ	Inferno
残酷な天使のテーゼ	A Cruel Angel's Thesis	Cruel Angel's Thesis	Evangelion
紅	Kurenai
うまぴょい伝説	Umapyoi Densetsu	Umapyoi	Uma musume
GO! GO! MANIAC
エクストラ・マジック・アワー	Extra Magic Hour
名前のない怪物	Monster without a Name
うっせぇわ	Ussewa	Shut up	Be quiet
廻廻奇譚	Kaikai kitan
乙女のルートはひとつじゃない！	Otome no Route wa Hitotsu Janai!
I believe what you said
No.1
ザ・ライブ革命でSHOW！	At The Live Revolution SHOW!	The Live Revolution SHOW!
Yes! Party Time!!
Deep in Abyss
町かどタンジェント	Machikado Tangent	Town corner tangent
異世界かるてっと	Isekai Quartet
Paradise Lost
脳裏上のクラッカー	Nori Ue no Cracker	Nouri Ue no Cracker
もってけ!セーラーふく	Motteke! Sailor Fuku
歩いていこう！	Aruite Ikou
甲賀忍法帖	Koga Shinobu Hojo	The Jouga Ninja Scrolls	Kouga Ninpouchou
Shiny Smily Story
キラメキライダー☆	Kirameki Rider
モノノケ・イン・ザ・フィクション	mononoke in the fiction
君のせい	Kimi no Sei
Pretender
Phantom Joke
ごまかし	Gomakashi
だから僕は音楽を辞めた	That's Why I Quit Music	That's Why I Gave Up On Music	Moonlight
真赤な誓い	Makka na Chikai
killy killy JOKER
Lostorage
Kadenz
euphoric field（English）	euphoric field
今宵mofumofu!!
チャージマン研！	Charge Man Ken
殺人レコード恐怖のメロディ
かっとばせ！未来へ	Kattokase Miraie	Kattokase Miraihe
ALL FOR ONE★
アイドル活動！オンパレード！ver.	Idol Katsudou	Idol Life	Aikatsu
ダイヤモンドハッピー	Diamond Happy
禁じられた遊び	Kinjirareta Asobi
HELLO to DREAM
君色Everyday	Kimiiro Everyday
お願いマッスル	Onegai Muscle
Ray ―はじまりのセカイ― (クロニクルアレンジver.)	Ray Hajimari no Sekai
狩猟戦旗～REQUIEM
さよならエレジー	Sayonara Elegy
紅蓮華	Gurenge	Demon Slayer
五等分の気持ち	Gotoubun no Kimochi
God knows...
Bull's Eye
Rightfully
巫女みこナース・愛のテーマ
nowhere
徒花ネクロマンシー	Adabana Necromancy
目覚めRETURNER	Mezame Returner
ストライク・ザ・ブラッド	Strike the Blood
気ままな天使たち	Kimama na Tenshi-tachi
ハッピー・ハッピー・フレンズ	Happy Happy Friends
Deal with the devil
Star Divine
輪舞-revolution	Rondo	Rondo Revolution
▲MEW▲△MEW△CAKE
野良猫ハート
Baby Sweet Berry Love
grilletto
UNION
Lemon
BURST THE GRAVITY
ヒプノシスマイク -Division Battle Anthem-	Hypnosismic
ハッピー☆マテリアル	Happy Material
ただ君に晴れ	Tada Kimi ni Hare
Distance
咲かせよ 沸かせよ バンバンBURN！
碧き孤島のアングゥィス
TOMORROW
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！	lovette jewelry angel break	Love is ♡ jewelry ♪ Angel ☆ Break
ぶれいくるみるくらぶ！
ゴーゴー幽霊船	Go Go Yureisen
未来イマジネーション！	Mirai Imagination!
純情-SAKURA-	Junjo Sakura
青春サイダー	Seishun Cider
ネ！コ！	NE!KO!
セハガガガンバッちゃう！！	SEHA GA GA GANBATCHAU
Cosmic twinkle star
終わりなき物語	OWARINAKIMONOGATARI
Our Fighting
ホシトハナ	Hoshi to Hana
Clover Heart's
Vampire
前前前世	Zenzenzense	Your Name
Paradisus-Paradoxum
ようこそジャパリパークへ	Youkoso Jyapariparkhe	Welcome to Japari Park
Face of Fact
true my heart -Lovable mix-
ラブリー☆えんじぇる!!	Lovely☆Angel!!
若い力 -SEGA HARD GIRLS MIX-	WAKAICHIKARA -SEGA HARD GIRLS MIX-
Daydream café
Redo
鳥の詩	Tori no Uta
回レ！雪月花	maware	Maware! setsugetsuka
ジングルベル	Jingle Bell	Jingle Bells
くらべられっ子	Kuraberarekko	Compared Child
あの世行きのバスに乗ってさらば。	I'm getting on the bus to the other world, see ya!	bus
泥の分際で私だけの大切を奪おうだなんて	dorono	Being low as dirt, taking what's important from me	being low as dirt	low as dirt
吉原ラメント	YOSHIWARALAMENTO	yoshiwara lament
フォニイ	Phony
ジャンキーナイトタウンオーケストラ	Junky Night Town Orchestra
エバ	Eva
トラフィック・ジャム	Traffic Jam
モア！ジャンプ！モア！	More Jump More
携帯恋話	Keitairenwa
エンヴィーベイビー	Envy Baby
ダーリンダンス	Darling Dance
初音天地開闢神話	Hatsune Tenchikaibyaku Shinwa	Hatsune Creation Myth
ヴァンパイア	Vampire	Vampire DECO27	Vamiper voca	Vampire vocaloid
帝国少女	Imperial Girl
クーネル・エンゲイザー
グッバイ宣言	Goodbye Sengen
テレキャスタービーボーイ	Telecaster Bboy
ボッカデラベリタ	Bocca Della Verita
ヴィラン	villain
KING
電脳少女は歌姫の夢を見るか？
心予報	Kokoroyohou
拝啓、桜舞い散るこの日に	Haikei Sakura Maichiru Kono Hi Ni
セカイ	Sekai
ローリンガール	Rollin'Girl	Rolling Girl
サイバーサンダーサイダー	Cyber Thunder Cider
骸骨楽団とリリア	Skeleton Orchestra	Skeleton Orchestra and Lilia
失敗作少女	Failure Girl
高音厨音域テスト	Kouon Chuu On'iki Test	High Pitch Addicts Vocal Range Test
深海のリトルクライ feat. 土岐麻子	Little Cry of the Abyss
二次元ドリームフィーバー	2 Dimension Dream Fever	2d Dream Fever	Nijigen Dream Fever
ラグトレイン	Lagtrain
幽霊東京	Ghost City Tokyo	Yuurei Tokyo
ポジティブ・パレード	Positive Parade
惑星ループ	Wakusei loop
スーサイドパレヱド	Suicide Parade
永遠にゲームで対戦したいキリタン	kiritan	Kiritan Wants to Battle Online Forever
アンヘル	Angel
アンドロイドガール	Android Girl
こちら、幸福安心委員会です。	Kochira, Koufuku Anshin Iinkai desu.	This is happiness and peace of mind committee.	This is, the Happiness and Peace of Mind Committee.	Happiness Committee
彗星ハネムーン	Comet Honeymoon
サクリファイス	Sacrifice
愛されなくても君がいる	Aisarenakute mo Kimi ga Iru	Because You’re Here	Even if I'm Not Loved, You're here
ぽかぽかの星	Pokapoka no Hoshi	Cozy Planet	Poka Poka Planet
スターナイトスノウ	Star Night Snow
白ゆき	Shirayuki
セカイはまだ始まってすらいない	Sekai hasn't even started yet
ドラマツルギー	Dramaturgy
アンクローズ・ヒューマン	Unclosed Human
ベノム	Venom
命に嫌われている	Hated By Life Itself
乙女解剖	Otome Kaibou	Maiden Dissection	Otome Dissection
フィクサー	Fixer
バイオレンストリガー	Violence Trigger
KILLER B
アヤカシ	Ayakashi
残響	Zankyou	Reverberation
クレイジー・ビート	crazy beat	crazy beats
グリーンライツ・セレナーデ	Greenlights Serenade	Greenlight Serenade
ブレス・ユア・ブレス	Bless Your Breath
Jump for Joy
メルティランドナイトメア	Melty Land Nightmare
絶対にチョコミントを食べるアオイチャン	chocomint	Mint choco	Aoi	Aoi chan
だれかの心臓になれたなら	I want to be your heart
Catch the Wave
結んで開いて羅刹と骸	Close and Open Demons and the Dead	Musunde Hiraite Rasetsu to Mukuro	Hold, Release; Rakshasa and Carcasses
ダブルラリアット	Double Lariat
＊ハロー、プラネット。	*Hello, Planet.
magnet
幾望の月	Kibou no Tsuki
アカリがやってきたぞっ	Akari	Akari ga yattekitazou	Akari has Arrived
おねがいダーリン	ONEgai Darlin'	Onegai Darling
リンカーネイション	reincarnation
太陽系デスコ	Solar System Disco
ナンセンス文学	Nonsense Literature
ロスタイムメモリー	Lost Time Memory	Loss Time Memory
ヒバナ	HIBANA
命ばっかり	inochi bakkari	It's Just Life	Nothing But Life
テオ	Teo
ハイセンスナンセンス	High Sense Nonsense
デンパラダイム	Denparadigm
METEOR
ワールズエンド・ダンスホール	WORLD'S END DANCE HALL
39
メルト	Melt	meruto
カゲロウデイズ	Kagerou Days	Kagerou Daze
妄想感傷代償連盟	MKDR
サヨナラチェーンソー	Sayonara Chainsaw
Seyana. ～何でも言うことを聞いてくれるアカネチャン～	Seyana. ~AKANE's anything ok~	seyana
はやくそれになりたい！	I wanna be it!	Hayaku Soreni Naritai
ちがう!!!	CHIGAU!!!
雨とペトラ	Rain and Petra	Ame to Petra
ミリオン／ワンズ	Million Ones
輪廻転生
おちゃめ機能	ochamekinou
ブリキノダンス	BURIKI NO DANCE
フリィダム ロリィタ	Freedom Lolita
DAYBREAK FRONTLINE
バレリーコ	Balleriko	Ballerico	Ballerina Girl
シャルル	Charles
ロキ	ROKI	loki
初音ミクの激唱	The Intense Singing of Hatsune Miku	Gekishou	Intense Singing
ヒビカセ	Hibikase
ゴーストルール	Ghost Rule
厨病激発ボーイ	Young disease outburst Boy
放課後ストライド	Houkago Stride
StargazeR
頓珍漢の宴	Tonchinkan no en	tonchinkan
ドーナツホール	DONUT HOLE
マトリョシカ	MATRYOSHKA
ダンスロボットダンス	Dance Robot Dance
アルカリレットウセイ	Arukari Rettousei	alkali	Alkali rettousei
グラーヴェ	Grave
レトロマニア狂想曲	Retro Mania Kyousoukyoku	Retro Mania Rhapsody
キレキャリオン	Kire Kyari On
アンノウン・マザーグース	Unknown Mother-Goose
拝啓ドッペルゲンガー	DEAR DOPPELGANGER
フラジール	fragile
Absolunote
木彫り鯰と右肩ゾンビ	Kiborinamazu to Migikatazonbi
WAVE
アマツキツネ	Amatsukitsune
スイートマジック	Sweet Magic
Just Be Friends
炉心融解	Roshin Yukai	Meltdown
Fire◎Flower
卑怯戦隊うろたんだー	Hikyou Sentai Urotander	Coward Fighters Urotander	The Dirty and Unmanly Force Urotander	Urotander, Underhanded Rangers
Change me
エレクトロサチュレイタ	Electro Saturator
Palette
パーフェクト生命	Perfect Life
のぼれ！すすめ！高い塔	Nobore! Susume! Takaito
害虫	Gaichuu	Pest	Parasite	Vermin
砂の惑星 feat. HATSUNE MIKU	DUNE feat. Hatsune Miku	dune
アンハッピーリフレイン	Unhappy Refrain
すきなことだけでいいです	Suki na Koto Dake de Ii Desu	All I Need are Things I Like
デリヘル呼んだら君が来た	Deriheru	Deriheru Yondara Kimi ga Kita	When I Arranged For A Call Girl, You Appeared
チュルリラ・チュルリラ・ダッダッダ！	Chururira • Chururira • Daddadda!	chururira
だんだん早くなる	Getting Faster and Faster	dandan hayaku naru
ECHO
エイリアンエイリアン	Alien Alien
地球最後の告白を	Chikyuu Saigo no Kokuhaku wo	The Earth's Final Confession
虎視眈々	Koshitantan	Waiting for a Chance to Pounce
おこちゃま戦争	Okocyama Sensou	Okochama Sensou
桜ノ雨	Sakura no Ame	Rain of Cherry Blossoms	Rain of Cherry Blossom Petals	Sakura Rain
いーあるふぁんくらぶ	iarufanclub	1 2 Fanclub
人生リセットボタン	Life Reset Button
神曲	Kami Kyoku	God-Tier Tune
白い雪のプリンセスは	The Snow White Princess is
愛言葉	Ai Kotoba	Love Words	Love Password
鬼KYOKAN	Oni KYOKAN	Drill Sergeant
有頂天ビバーチェ	Uchouten Vivace	Ecstatic Vivace
幸せになれる隠しコマンドがあるらしい	Shiawase ni Nareru Kakushi Command ga Arurashii	shiawase	There's Supposed to Be a Cheat Code for Happiness	It Seems Like There's A Secret Command To Becoming Happy
インビジブル	Invisible
エンヴィキャットウォーク	Envy Cat Walk
アカツキアライヴァル	Akatsuki Arrival	Daybreak Arrival
ラクガキスト	Graffitist	Luckgakist
リモコン	Remocon	Remote Control
アウターサイエンス	Outer Science
シジョウノコエ VOCALO ver.	Shijou no Koe
ビバハピ	Viva Happy
Tell Your World
からくりピエロ	Karakuri Pierrot
深海少女	Deep-Sea Girl	Shinkai Shoujo
ロミオとシンデレラ	Romeo and Cinderella
初音ミクの消失	The Disappearance of Hatsune Miku	disappearance
みくみくにしてあげる♪【してやんよ】	I'll Miku-Miku You♪ (For Reals)
Hand in Hand
放課後革命	Houkago Kakumei	After-School Revolution
楽園ファンファーレ
ウミユリ海底譚	Umiyuri Kaiteitan	Umiyuri
アスノヨゾラ哨戒班	Night Sky Patrol of Tomorrow	Asu no Yozora Shoukaihan
天樂	Tengaku	Music of the Heavens
Crazy ∞ nighT
カミサマネジマキ	Kamisama Neji Maki	Wind-Up God
チルドレンレコード	Children Record
如月アテンション	Kisaragi Attention
夜咄ディセイブ	Yobanashi Deceive	Yobanashi
恋愛裁判	Love Trial
このふざけた素晴らしき世界は、僕の為にある	This Messed-Up Wonderful World Exists For Me
Mr. Wonderland
星屑ユートピア	Hoshikuzu Utopia	Stardust Utopia
